	Metabolite	r_Pearson	p_Pearson	r_Spearman	p_Spearman	p_Pearson_adj	p_Spearman_adj
365	N-phenethyloctadecanamide	0.698009612608857	2.2186521089652914e-06	0.5078136524850452	0.0015690122466065206	0.00016284906479805238	0.003667691047799956
387	Ethylene dioleamide	0.3346125940747206	0.04607144761711539	0.5001619250888589	0.0018944377627910728	0.19598487377240045	0.004400371259141289
157	N-(3-aminopropyl)hexadecanamide	0.33645770172097605	0.04481092122225331	0.4981246505536188	0.0019904819625862643	0.19347774221843486	0.0045943828947745844
45	3-hydroxyanthranilic acid	0.3815438000480852	0.021670067836732337	0.49323948265080286	0.0022383531168692233	0.12426429525126201	0.005134222461818781
137	N-[2-[[(Z)-heptadec-12-en-10-ynyl]-methylamino]ethyl]-N-methylacetamide	0.6015493923824783	0.00010424274504427592	0.4911497017951562	0.002352372998951768	0.0038257087431249263	0.0053622415566167625
153	2-[[(2S)-2-amino-6-(tert-butylamino)hexanoyl]amino]-6-(tert-butylamino)hexanoic acid	0.5831445714769657	0.00018960251090384633	0.4895233782792783	0.0024445868746701344	0.006325829227428328	0.0055380455740983905
92	Daidzein	0.19321777203193752	0.2588672728773913	0.48832338377086176	0.00251463700278972	0.3991776854874059	0.0056617900614958725
255	Alpha-linolenic acid (alpha-LA)	0.16443847871646125	0.3378832562496312	0.4833133861594819	0.0028263807701012426	0.4787766604000566	0.0063248886745558295
168	tert-butyl N-[1-[[1-(2-hydroxyphenyl)-2-(4-methoxyanilino)-2-oxoethyl]-methylamino]-4-methyl-1-oxopentan-2-yl]carbamate	0.25859529540373255	0.12779619554888058	0.4811597155492843	0.0029704186592420107	0.3135561831261794	0.006606931199647382
169	LysoPE(18:2(9Z,12Z) (Lysophosphatidylethanolamine)	0.302756152955412	0.07268302532816392	0.48062907345879713	0.0030068744867247526	0.22800658163435658	0.006647728533903519
232	Octadeca-9,12,15-trien-2-one	0.281891907675107	0.09578662306335964	0.47560366426456624	0.003371901036887646	0.2740893929597672	0.007322412310874355
9	Choline alfoscerate	0.3128314953383878	0.06321452128095147	0.47566311628620506	0.003367367164071562	0.2230743202895114	0.007322412310874355
67	Tetramethylpyrazine	0.11532132380428317	0.5030180820822117	0.4760248930974908	0.003339891744351119	0.630060191550074	0.007322412310874355
194	2-[[2-[(2-Azaniumyl-4-methylpentanoyl)amino]-3-methylbutanoyl]amino]-4-methylpentanoate	0.24185794240764133	0.15527812059156457	0.47399604732770695	0.0034965276862258983	0.33188936513527006	0.007548386240264145
190	(9E,11E)-Octadecadienoic acid	0.30208457356177465	0.0733515295231068	0.4737307262824633	0.0035174760846828365	0.2281356892794932	0.007549203058939187
254	Anandamide (18:4, n-3)	0.17028203627811106	0.3207533948963395	0.4732000841919761	0.0035597001084370396	0.45983006221467426	0.007595406626723218
253	Palmitoylglycine	0.24349162282846265	0.1524212297965542	0.47165431013842685	0.0036852180753646174	0.33188936513527006	0.00781777476103361
270	Margaroylglycine	0.22817293646870737	0.18074753873359992	0.4712768659081624	0.0037164439271051256	0.3497625453549038	0.007838706443951616
247	N-Oleoyl-L-Serine	0.2642698361119755	0.11935296837383527	0.4672037408406071	0.00406829488305958	0.30001739310409276	0.008531795554759235
94	2,3-dimethyl-5-isopropylpyrazine	0.13901362152717656	0.41875520667231975	0.4646837638134193	0.004300133889945452	0.5629419811309206	0.008966756463693073
198	Dodecadienoic acid isobutylamide	0.4434702588317183	0.006748206434046174	0.4608594450408559	0.004673801745225978	0.05896647050702252	0.00969087706496008
42	Indoline	0.25322582531479726	0.1361865326295701	0.45913072859426896	0.004851716336697021	0.3205682956389309	0.010003257840268577
